CATEGORY,MEDICINE,UNITPRICE,MONTH,Sales,lag_1,rolling_mean_3,Date,month,quarter
Bones & Joints,Abies Alba | UNDA Gemmo | 125 mL,45.5,April,2279,1250,1668.333333,4/1/2024,4,2
Bones & Joints,Ampelopsis weitchii | UNDA Gemmo | 125 mL,46.5,September,1630,2061,2015,9/1/2024,9,3
Bones & Joints,Ampelopsis weitchii | UNDA Gemmo | 125 mL,46.5,October,1206,1630,1739.666667,10/1/2024,10,4
Bones & Joints,Ampelopsis weitchii | UNDA Gemmo | 125 mL,46.5,November,1407,1206,1632.333333,11/1/2024,11,4
Bones & Joints,Ampelopsis weitchii | UNDA Gemmo | 125 mL,46.5,December,2435,1407,1414.333333,12/1/2024,12,4
Bones & Joints,Annatto-E™ 150 | Designs for Health® | 30 Softgels,90.75,April,1088,1951,1722,4/1/2024,4,2
Bones & Joints,Annatto-E™ 150 | Designs for Health® | 30 Softgels,90.75,May,1642,1088,1624.333333,5/1/2024,5,2
Bones & Joints,Annatto-E™ 150 | Designs for Health® | 30 Softgels,90.75,June,2575,1642,1560.333333,6/1/2024,6,2
Bones & Joints,Annatto-E™ 150 | Designs for Health® | 30 Softgels,90.75,July,2327,2575,1768.333333,7/1/2024,7,3
Bones & Joints,Annatto-E™ 150 | Designs for Health® | 30 Softgels,90.75,August,2590,2327,2181.333333,8/1/2024,8,3
Bones & Joints,Annatto-E™ 150 | Designs for Health® | 30 Softgels,90.75,September,1827,2590,2497.333333,9/1/2024,9,3
Bones & Joints,Annatto-E™ 150 | Designs for Health® | 30 Softgels,90.75,October,1103,1827,2248,10/1/2024,10,4
Bones & Joints,Annatto-E™ 150 | Designs for Health® | 30 Softgels,90.75,November,2995,1103,1840,11/1/2024,11,4
Bones & Joints,Annatto-E™ 150 | Designs for Health® | 30 Softgels,90.75,December,1041,2995,1975,12/1/2024,12,4
Bones & Joints,Annatto-E™ 300 | Designs for Health® | 30 Softgels,37.99,April,1740,1572,1326,4/1/2024,4,2
Bones & Joints,Annatto-E™ 300 | Designs for Health® | 30 Softgels,37.99,May,2213,1740,1445,5/1/2024,5,2
Bones & Joints,Annatto-E™ 300 | Designs for Health® | 30 Softgels,37.99,June,1506,2213,1841.666667,6/1/2024,6,2
Bones & Joints,Annatto-E™ 300 | Designs for Health® | 30 Softgels,37.99,July,2054,1506,1819.666667,7/1/2024,7,3
Bones & Joints,Annatto-E™ 300 | Designs for Health® | 30 Softgels,37.99,August,1372,2054,1924.333333,8/1/2024,8,3
Bones & Joints,Annatto-E™ 300 | Designs for Health® | 30 Softgels,37.99,September,2237,1372,1644,9/1/2024,9,3
Bones & Joints,Annatto-E™ 300 | Designs for Health® | 30 Softgels,37.99,October,1167,2237,1887.666667,10/1/2024,10,4
Bones & Joints,Annatto-E™ 300 | Designs for Health® | 30 Softgels,37.99,November,1220,1167,1592,11/1/2024,11,4
Bones & Joints,Annatto-E™ 300 | Designs for Health® | 30 Softgels,37.99,December,1719,1220,1541.333333,12/1/2024,12,4
Bones & Joints,Anti-Inflamma With Proteolytic Enzymes | New Roots HERBAL® | 180 Capsules,41.99,April,1943,1974,2444,4/1/2024,4,2
Bones & Joints,Anti-Inflamma With Proteolytic Enzymes | New Roots HERBAL® | 180 Capsules,41.99,May,2049,1943,2257.333333,5/1/2024,5,2
Bones & Joints,Anti-Inflamma With Proteolytic Enzymes | New Roots HERBAL® | 180 Capsules,41.99,June,2075,2049,1988.666667,6/1/2024,6,2
Bones & Joints,Anti-Inflamma With Proteolytic Enzymes | New Roots HERBAL® | 180 Capsules,41.99,July,2389,2075,2022.333333,7/1/2024,7,3
Bones & Joints,Anti-Inflamma With Proteolytic Enzymes | New Roots HERBAL® | 180 Capsules,41.99,August,2978,2389,2171,8/1/2024,8,3
Bones & Joints,Anti-Inflamma With Proteolytic Enzymes | New Roots HERBAL® | 180 Capsules,41.99,September,2176,2978,2480.666667,9/1/2024,9,3
Bones & Joints,Anti-Inflamma With Proteolytic Enzymes | New Roots HERBAL® | 180 Capsules,41.99,October,1057,2176,2514.333333,10/1/2024,10,4
Bones & Joints,Anti-Inflamma With Proteolytic Enzymes | New Roots HERBAL® | 180 Capsules,41.99,November,2830,1057,2070.333333,11/1/2024,11,4
Bones & Joints,Anti-Inflamma With Proteolytic Enzymes | New Roots HERBAL® | 180 Capsules,41.99,December,1389,2830,2021,12/1/2024,12,4
Bones & Joints,AntiFlamX | Omega Alpha® | 500 mL,44.99,April,2323,2555,2095.666667,4/1/2024,4,2
Bones & Joints,AntiFlamX | Omega Alpha® | 500 mL,44.99,May,2255,2323,2078.333333,5/1/2024,5,2
Bones & Joints,AntiFlamX | Omega Alpha® | 500 mL,44.99,June,2813,2255,2377.666667,6/1/2024,6,2
Bones & Joints,AntiFlamX | Omega Alpha® | 500 mL,44.99,July,1277,2813,2463.666667,7/1/2024,7,3
Bones & Joints,AntiFlamX | Omega Alpha® | 500 mL,44.99,August,1615,1277,2115,8/1/2024,8,3
Bones & Joints,AntiFlamX | Omega Alpha® | 500 mL,44.99,September,2051,1615,1901.666667,9/1/2024,9,3
Bones & Joints,AntiFlamX | Omega Alpha® | 500 mL,44.99,October,1287,2051,1647.666667,10/1/2024,10,4
Bones & Joints,AntiFlamX | Omega Alpha® | 500 mL,44.99,November,1715,1287,1651,11/1/2024,11,4
Bones & Joints,AntiFlamX | Omega Alpha® | 500 mL,44.99,December,2771,1715,1684.333333,12/1/2024,12,4
Bones & Joints,Arthritis Targeted Omega-3 | NutraSea® | 200 mL (6.8 fl oz) Liquid,59.99,April,2418,2851,2509.666667,4/1/2024,4,2
Bones & Joints,Arthritis Targeted Omega-3 | NutraSea® | 200 mL (6.8 fl oz) Liquid,59.99,May,2415,2418,2734.333333,5/1/2024,5,2
Bones & Joints,Arthritis Targeted Omega-3 | NutraSea® | 200 mL (6.8 fl oz) Liquid,59.99,June,2861,2415,2561.333333,6/1/2024,6,2
Bones & Joints,Arthritis Targeted Omega-3 | NutraSea® | 200 mL (6.8 fl oz) Liquid,59.99,July,2239,2861,2564.666667,7/1/2024,7,3
Bones & Joints,Arthritis Targeted Omega-3 | NutraSea® | 200 mL (6.8 fl oz) Liquid,59.99,August,1724,2239,2505,8/1/2024,8,3
Bones & Joints,Arthritis Targeted Omega-3 | NutraSea® | 200 mL (6.8 fl oz) Liquid,59.99,September,2189,1724,2274.666667,9/1/2024,9,3
Bones & Joints,Arthritis Targeted Omega-3 | NutraSea® | 200 mL (6.8 fl oz) Liquid,59.99,October,1574,2189,2050.666667,10/1/2024,10,4
Bones & Joints,Arthritis Targeted Omega-3 | NutraSea® | 200 mL (6.8 fl oz) Liquid,59.99,November,2287,1574,1829,11/1/2024,11,4
Bones & Joints,Arthritis Targeted Omega-3 | NutraSea® | 200 mL (6.8 fl oz) Liquid,59.99,December,1021,2287,2016.666667,12/1/2024,12,4
Bones & Joints,Arthritis Targeted Omega-3 | NutraSea® | 75 Softgels,67.9,April,1400,1006,1597.666667,4/1/2024,4,2
Bones & Joints,Arthritis Targeted Omega-3 | NutraSea® | 75 Softgels,67.9,May,1013,1400,1475,5/1/2024,5,2
Bones & Joints,Arthritis Targeted Omega-3 | NutraSea® | 75 Softgels,67.9,June,1783,1013,1139.666667,6/1/2024,6,2
Bones & Joints,Arthritis Targeted Omega-3 | NutraSea® | 75 Softgels,67.9,July,1566,1783,1398.666667,7/1/2024,7,3
Bones & Joints,Arthritis Targeted Omega-3 | NutraSea® | 75 Softgels,67.9,August,2684,1566,1454,8/1/2024,8,3
Bones & Joints,Arthritis Targeted Omega-3 | NutraSea® | 75 Softgels,67.9,September,2771,2684,2011,9/1/2024,9,3
Bones & Joints,Arthritis Targeted Omega-3 | NutraSea® | 75 Softgels,67.9,October,1168,2771,2340.333333,10/1/2024,10,4
Bones & Joints,Arthritis Targeted Omega-3 | NutraSea® | 75 Softgels,67.9,November,2572,1168,2207.666667,11/1/2024,11,4
Bones & Joints,Arthritis Targeted Omega-3 | NutraSea® | 75 Softgels,67.9,December,2962,2572,2170.333333,12/1/2024,12,4
Bones & Joints,Arthroben® Powder | Designs for Health® | 420 g (14.8 oz),95.75,April,1378,2137,1961,4/1/2024,4,2
Bones & Joints,Arthroben® Powder | Designs for Health® | 420 g (14.8 oz),95.75,May,1810,1378,1986.666667,5/1/2024,5,2
Bones & Joints,Arthroben® Powder | Designs for Health® | 420 g (14.8 oz),95.75,June,2001,1810,1775,6/1/2024,6,2
Bones & Joints,Arthroben® Powder | Designs for Health® | 420 g (14.8 oz),95.75,July,1657,2001,1729.666667,7/1/2024,7,3
Bones & Joints,Arthroben® Powder | Designs for Health® | 420 g (14.8 oz),95.75,August,1672,1657,1822.666667,8/1/2024,8,3
Bones & Joints,Arthroben® Powder | Designs for Health® | 420 g (14.8 oz),95.75,September,2082,1672,1776.666667,9/1/2024,9,3
Bones & Joints,Arthroben® Powder | Designs for Health® | 420 g (14.8 oz),95.75,October,2635,2082,1803.666667,10/1/2024,10,4
Bones & Joints,Arthroben® Powder | Designs for Health® | 420 g (14.8 oz),95.75,November,1392,2635,2129.666667,11/1/2024,11,4
Bones & Joints,Arthroben® Powder | Designs for Health® | 420 g (14.8 oz),95.75,December,2927,1392,2036.333333,12/1/2024,12,4
Bones & Joints,Ascorbates SAP | NFH | 180 Capsules,21.99,April,1085,1718,1823.666667,4/1/2024,4,2
Bones & Joints,Ascorbates SAP | NFH | 180 Capsules,21.99,May,1889,1085,1459,5/1/2024,5,2
Bones & Joints,Ascorbates SAP | NFH | 180 Capsules,21.99,June,2839,1889,1564,6/1/2024,6,2
Bones & Joints,Ascorbates SAP | NFH | 180 Capsules,21.99,July,2607,2839,1937.666667,7/1/2024,7,3
Bones & Joints,Ascorbates SAP | NFH | 180 Capsules,21.99,August,1748,2607,2445,8/1/2024,8,3
Bones & Joints,Ascorbates SAP | NFH | 180 Capsules,21.99,September,2419,1748,2398,9/1/2024,9,3
Bones & Joints,Ascorbates SAP | NFH | 180 Capsules,21.99,October,2738,2419,2258,10/1/2024,10,4
Bones & Joints,Ascorbates SAP | NFH | 180 Capsules,21.99,November,2053,2738,2301.666667,11/1/2024,11,4
Bones & Joints,Ascorbates SAP | NFH | 180 Capsules,21.99,December,2227,2053,2403.333333,12/1/2024,12,4
Bones & Joints,Axis Endo™ | Metagenics® | 14 servings,45.14,April,1005,2402,1823.333333,4/1/2024,4,2
Bones & Joints,Axis Endo™ | Metagenics® | 14 servings,45.14,May,2684,1005,1589.333333,5/1/2024,5,2
Bones & Joints,Axis Endo™ | Metagenics® | 14 servings,45.14,June,1625,2684,2030.333333,6/1/2024,6,2
Bones & Joints,Axis Endo™ | Metagenics® | 14 servings,45.14,July,2725,1625,1771.333333,7/1/2024,7,3
Bones & Joints,Axis Endo™ | Metagenics® | 14 servings,45.14,August,2766,2725,2344.666667,8/1/2024,8,3
Bones & Joints,Axis Endo™ | Metagenics® | 14 servings,45.14,September,2697,2766,2372,9/1/2024,9,3
Bones & Joints,Axis Endo™ | Metagenics® | 14 servings,45.14,October,1345,2697,2729.333333,10/1/2024,10,4
Bones & Joints,Axis Endo™ | Metagenics® | 14 servings,45.14,November,1367,1345,2269.333333,11/1/2024,11,4
Bones & Joints,Axis Endo™ | Metagenics® | 14 servings,45.14,December,1777,1367,1803,12/1/2024,12,4
Bones & Joints,Baby-D Vitamin D3 Droplets | Jamieson™ | 11.7 mL,44,April,2868,1053,1616.666667,4/1/2024,4,2
Bones & Joints,Baby-D Vitamin D3 Droplets | Jamieson™ | 11.7 mL,44,May,2832,2868,1959,5/1/2024,5,2
Bones & Joints,Baby-D Vitamin D3 Droplets | Jamieson™ | 11.7 mL,44,June,2950,2832,2251,6/1/2024,6,2
Bones & Joints,Baby-D Vitamin D3 Droplets | Jamieson™ | 11.7 mL,44,July,1944,2950,2883.333333,7/1/2024,7,3
Bones & Joints,Baby-D Vitamin D3 Droplets | Jamieson™ | 11.7 mL,44,August,2905,1944,2575.333333,8/1/2024,8,3
Bones & Joints,Baby-D Vitamin D3 Droplets | Jamieson™ | 11.7 mL,44,September,1596,2905,2599.666667,9/1/2024,9,3
Bones & Joints,Baby-D Vitamin D3 Droplets | Jamieson™ | 11.7 mL,44,October,1719,1596,2148.333333,10/1/2024,10,4
Bones & Joints,Baby-D Vitamin D3 Droplets | Jamieson™ | 11.7 mL,44,November,1426,1719,2073.333333,11/1/2024,11,4
Bones & Joints,Baby-D Vitamin D3 Droplets | Jamieson™ | 11.7 mL,44,December,1415,1426,1580.333333,12/1/2024,12,4
Bones & Joints,Beef Bone Broth Protein Powder | Organika® | 300 g,46.5,April,2436,2872,2513,4/1/2024,4,2
Bones & Joints,Beef Bone Broth Protein Powder | Organika® | 300 g,46.5,May,2820,2436,2681,5/1/2024,5,2
Bones & Joints,Beef Bone Broth Protein Powder | Organika® | 300 g,46.5,June,2241,2820,2709.333333,6/1/2024,6,2
Bones & Joints,Beef Bone Broth Protein Powder | Organika® | 300 g,46.5,July,1400,2241,2499,7/1/2024,7,3
Bones & Joints,Beef Bone Broth Protein Powder | Organika® | 300 g,46.5,August,1388,1400,2153.666667,8/1/2024,8,3
Bones & Joints,Beef Bone Broth Protein Powder | Organika® | 300 g,46.5,September,2434,1388,1676.333333,9/1/2024,9,3
Bones & Joints,Beef Bone Broth Protein Powder | Organika® | 300 g,46.5,October,2829,2434,1740.666667,10/1/2024,10,4
Bones & Joints,Beef Bone Broth Protein Powder | Organika® | 300 g,46.5,November,1915,2829,2217,11/1/2024,11,4
Bones & Joints,Beef Bone Broth Protein Powder | Organika® | 300 g,46.5,December,2723,1915,2392.666667,12/1/2024,12,4
Bones & Joints,Beta-TCP™ | Biotics Research® | 90 or 180 Tablets,60,April,2670,1075,1146.666667,4/1/2024,4,2
Bones & Joints,Beta-TCP™ | Biotics Research® | 90 or 180 Tablets,60,May,1709,2670,1602.666667,5/1/2024,5,2
Bones & Joints,Beta-TCP™ | Biotics Research® | 90 or 180 Tablets,60,June,2328,1709,1818,6/1/2024,6,2
Bones & Joints,Beta-TCP™ | Biotics Research® | 90 or 180 Tablets,60,July,1896,2328,2235.666667,7/1/2024,7,3
Bones & Joints,Beta-TCP™ | Biotics Research® | 90 or 180 Tablets,60,August,2149,1896,1977.666667,8/1/2024,8,3
Bones & Joints,Beta-TCP™ | Biotics Research® | 90 or 180 Tablets,60,September,1791,2149,2124.333333,9/1/2024,9,3
Bones & Joints,Beta-TCP™ | Biotics Research® | 90 or 180 Tablets,60,October,1898,1791,1945.333333,10/1/2024,10,4
Bones & Joints,Beta-TCP™ | Biotics Research® | 90 or 180 Tablets,60,November,2424,1898,1946,11/1/2024,11,4
Bones & Joints,Beta-TCP™ | Biotics Research® | 90 or 180 Tablets,60,December,1199,2424,2037.666667,12/1/2024,12,4
Bones & Joints,Betula pubescens | UNDA Gemmo | 125 mL,52,April,1752,1050,1238.666667,4/1/2024,4,2
Bones & Joints,Betula pubescens | UNDA Gemmo | 125 mL,52,May,2343,1752,1388,5/1/2024,5,2
Bones & Joints,Betula pubescens | UNDA Gemmo | 125 mL,52,June,2257,2343,1715,6/1/2024,6,2
Bones & Joints,Betula pubescens | UNDA Gemmo | 125 mL,52,July,2235,2257,2117.333333,7/1/2024,7,3
Bones & Joints,Betula pubescens | UNDA Gemmo | 125 mL,52,August,2188,2235,2278.333333,8/1/2024,8,3
Bones & Joints,Betula pubescens | UNDA Gemmo | 125 mL,52,September,2333,2188,2226.666667,9/1/2024,9,3
Bones & Joints,Betula pubescens | UNDA Gemmo | 125 mL,52,October,2734,2333,2252,10/1/2024,10,4
Bones & Joints,Betula pubescens | UNDA Gemmo | 125 mL,52,November,2510,2734,2418.333333,11/1/2024,11,4
Bones & Joints,Betula pubescens | UNDA Gemmo | 125 mL,52,December,1436,2510,2525.666667,12/1/2024,12,4
Bones & Joints,Bio-Allay | Biotics Research® | 120 Capsules,41,April,2797,1738,2189.333333,4/1/2024,4,2
Bones & Joints,Bio-Allay | Biotics Research® | 120 Capsules,41,May,2792,2797,2132.333333,5/1/2024,5,2
Bones & Joints,Bio-Allay | Biotics Research® | 120 Capsules,41,June,2686,2792,2442.333333,6/1/2024,6,2
Bones & Joints,Bio-Allay | Biotics Research® | 120 Capsules,41,July,2603,2686,2758.333333,7/1/2024,7,3
Bones & Joints,Bio-Allay | Biotics Research® | 120 Capsules,41,August,1384,2603,2693.666667,8/1/2024,8,3
Bones & Joints,Bio-Allay | Biotics Research® | 120 Capsules,41,September,2812,1384,2224.333333,9/1/2024,9,3
Bones & Joints,Bio-Allay | Biotics Research® | 120 Capsules,41,October,2098,2812,2266.333333,10/1/2024,10,4
Bones & Joints,Bio-Allay | Biotics Research® | 120 Capsules,41,November,2309,2098,2098,11/1/2024,11,4
Bones & Joints,Bio-Allay | Biotics Research® | 120 Capsules,41,December,2493,2309,2406.333333,12/1/2024,12,4
Bones & Joints,Bio-C Plus 1000™ | Biotics Research® | 100 Tablets,52,April,1633,1693,1518.333333,4/1/2024,4,2
Bones & Joints,Bio-C Plus 1000™ | Biotics Research® | 100 Tablets,52,May,1874,1633,1577,5/1/2024,5,2
Bones & Joints,Bio-C Plus 1000™ | Biotics Research® | 100 Tablets,52,June,2112,1874,1733.333333,6/1/2024,6,2
Bones & Joints,Bio-C Plus 1000™ | Biotics Research® | 100 Tablets,52,July,2227,2112,1873,7/1/2024,7,3
Bones & Joints,Bio-C Plus 1000™ | Biotics Research® | 100 Tablets,52,August,1322,2227,2071,8/1/2024,8,3
Bones & Joints,Bio-C Plus 1000™ | Biotics Research® | 100 Tablets,52,September,1731,1322,1887,9/1/2024,9,3
Bones & Joints,Bio-C Plus 1000™ | Biotics Research® | 100 Tablets,52,October,1182,1731,1760,10/1/2024,10,4
Bones & Joints,Bio-C Plus 1000™ | Biotics Research® | 100 Tablets,52,November,1444,1182,1411.666667,11/1/2024,11,4
Bones & Joints,Bio-C Plus 1000™ | Biotics Research® | 100 Tablets,52,December,1732,1444,1452.333333,12/1/2024,12,4
Bones & Joints,Bio-C | Vita Aid® | 120 Vegetable Capsules,57.12,April,1717,1342,2117,4/1/2024,4,2
Bones & Joints,Bio-C | Vita Aid® | 120 Vegetable Capsules,57.12,May,2939,1717,1859.333333,5/1/2024,5,2
Bones & Joints,Bio-C | Vita Aid® | 120 Vegetable Capsules,57.12,June,1971,2939,1999.333333,6/1/2024,6,2
Bones & Joints,Bio-C | Vita Aid® | 120 Vegetable Capsules,57.12,July,1996,1971,2209,7/1/2024,7,3
Bones & Joints,Bio-C | Vita Aid® | 120 Vegetable Capsules,57.12,August,2650,1996,2302,8/1/2024,8,3
Bones & Joints,Bio-C | Vita Aid® | 120 Vegetable Capsules,57.12,September,1341,2650,2205.666667,9/1/2024,9,3
Bones & Joints,Bio-C | Vita Aid® | 120 Vegetable Capsules,57.12,October,1354,1341,1995.666667,10/1/2024,10,4
Bones & Joints,Bio-C | Vita Aid® | 120 Vegetable Capsules,57.12,November,2174,1354,1781.666667,11/1/2024,11,4
Bones & Joints,Bio-C | Vita Aid® | 120 Vegetable Capsules,57.12,December,1612,2174,1623,12/1/2024,12,4
Bones & Joints,Bio-DK-Mulsion™ | Biotics Research® | 1 fl.oz,38.25,April,1819,1071,1368.333333,4/1/2024,4,2
Bones & Joints,Bio-DK-Mulsion™ | Biotics Research® | 1 fl.oz,38.25,May,1079,1819,1443.666667,5/1/2024,5,2
Bones & Joints,Bio-DK-Mulsion™ | Biotics Research® | 1 fl.oz,38.25,June,2833,1079,1323,6/1/2024,6,2
Bones & Joints,Bio-DK-Mulsion™ | Biotics Research® | 1 fl.oz,38.25,July,2234,2833,1910.333333,7/1/2024,7,3
Bones & Joints,Bio-DK-Mulsion™ | Biotics Research® | 1 fl.oz,38.25,August,2391,2234,2048.666667,8/1/2024,8,3
Bones & Joints,Bio-DK-Mulsion™ | Biotics Research® | 1 fl.oz,38.25,September,1889,2391,2486,9/1/2024,9,3
Bones & Joints,Bio-DK-Mulsion™ | Biotics Research® | 1 fl.oz,38.25,October,1320,1889,2171.333333,10/1/2024,10,4
Bones & Joints,Bio-DK-Mulsion™ | Biotics Research® | 1 fl.oz,38.25,November,2933,1320,1866.666667,11/1/2024,11,4
Bones & Joints,Bio-DK-Mulsion™ | Biotics Research® | 1 fl.oz,38.25,December,1955,2933,2047.333333,12/1/2024,12,4
Bones & Joints,Bisglycino-Mg | Vita Aid® | 112 Veg Caps,37.74,April,2648,1054,1707.666667,4/1/2024,4,2
Bones & Joints,Bisglycino-Mg | Vita Aid® | 112 Veg Caps,37.74,May,2396,2648,1951.666667,5/1/2024,5,2
Bones & Joints,Bisglycino-Mg | Vita Aid® | 112 Veg Caps,37.74,June,1188,2396,2032.666667,6/1/2024,6,2
Bones & Joints,Bisglycino-Mg | Vita Aid® | 112 Veg Caps,37.74,July,2733,1188,2077.333333,7/1/2024,7,3
Bones & Joints,Bisglycino-Mg | Vita Aid® | 112 Veg Caps,37.74,August,1177,2733,2105.666667,8/1/2024,8,3
Bones & Joints,Bisglycino-Mg | Vita Aid® | 112 Veg Caps,37.74,September,2146,1177,1699.333333,9/1/2024,9,3
Bones & Joints,Bisglycino-Mg | Vita Aid® | 112 Veg Caps,37.74,October,2480,2146,2018.666667,10/1/2024,10,4
Bones & Joints,Bisglycino-Mg | Vita Aid® | 112 Veg Caps,37.74,November,2595,2480,1934.333333,11/1/2024,11,4
Bones & Joints,Bisglycino-Mg | Vita Aid® | 112 Veg Caps,37.74,December,1934,2595,2407,12/1/2024,12,4
